"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","cell_type"
"GO:0099022","vesicle tethering","10/1899","32/17012",0.3125,2.79949973670353,3.61168609493334,0.00187065371248805,0.0212133015664072,0.0169654376006366,"EXOC6/EXOC6B/EXOC4/EXOC5/TBC1D23/EXOC1/EXOC2/WDR11/FAM91A1/STARD3",10,"ACKR1+ endothelial"
"GO:0043500","muscle adaptation","23/1899","109/17012",0.211009174311927,1.89030440937046,3.30538415595138,0.00187561062513127,0.0212133015664072,0.0169654376006366,"APLNR/NOS3/LMCD1/ACACB/IL1R1/GSN/NOTCH1/FOXO1/MEF2A/IL6ST/ARRB1/TNFRSF1A/EDN1/SELENON/KLF4/ROCK2/FOXP1/CFLAR/ATP2B4/INPP5F/HDAC4/SMAD3/LMNA",23,"ACKR1+ endothelial"
"GO:0061157","mRNA destabilization","23/1899","109/17012",0.211009174311927,1.89030440937046,3.30538415595138,0.00187561062513127,0.0212133015664072,0.0169654376006366,"EPHA4/SAMD4A/CPEB3/ROCK2/PAN3/NOCT/TENT4A/TNRC6A/AGO3/FTO/DIS3/PNPT1/DIS3L2/CNOT9/TNRC6B/PUM1/DCP2/KHSRP/GIGYF2/RC3H2/CELF1/SYNCRIP/CUL4A",23,"ACKR1+ endothelial"
"GO:0101023","vascular endothelial cell proliferation","9/1899","27/17012",0.333333333333333,2.98613305248376,3.66108244327956,0.00189743835028009,0.0214186657876879,0.017129678601531,"FLT1/MEF2C/FGFR1/CCL2/AKT3/SP1/ADAM17/PLCG1/STAT3",9,"ACKR1+ endothelial"
"GO:0044782","cilium organization","64/1899","400/17012",0.16,1.43334386519221,3.10887850831743,0.00191113779123435,0.0215316605205476,0.0172200466700531,"CC2D2B/ABLIM3/DUSP23/WWTR1/RFX2/ASAP1/TBC1D30/EHD4/DISC1/LAMA5/ABLIM1/GSN/NOTCH1/LRRC49/LUZP1/BBS9/ALPK1/RPGR/RTTN/NECTIN2/WDPCP/RFX3/DNMBP/PKD2/TTLL5/SDCCAG8/RILPL1/CCDC88A/SYNE2/ARL13B/EHD2/PIBF1/LIMK2/CEP164/FNBP1L/ODF2L/IFT88/LIMA1/AHI1/CPLANE1/GSK3B/EXOC5/KIAA0586/TTBK2/CDK10/RAB11A/TTLL3/NPHP3/CEP135/DYNC2H1/NUDCD3/TOGARAM1/USP9X/TTC17/PARVA/DTNBP1/CCDC32/NME7/CFAP20/NEDD9/WDR11/RAB11FIP3/HTT/YAP1",64,"ACKR1+ endothelial"
"GO:1990089","response to nerve growth factor","14/1899","54/17012",0.259259259259259,2.32254792970959,3.45042862382465,0.00192882160827964,0.0216890229401155,0.0173458980044862,"APP/MAGI2/KAT2A/CRK/HES1/CBL/BPTF/ACAP2/EEF2K/RAPGEF2/KIDINS220/DYNC1LI2/SHOC2/RAPGEF1",14,"ACKR1+ endothelial"
"GO:0030832","regulation of actin filament length","29/1899","149/17012",0.194630872483221,1.7435810440677,3.23151434069804,0.00196967162198397,0.0221013076015708,0.0176756245996474,"KANK3/SSH1/ESAM/SVIL/SWAP70/FCHSD2/SPTBN1/RDX/GSN/TRIOBP/CARMIL1/ELN/CDC42EP4/NCKAP1/PRKCE/TMOD3/SPTAN1/PLEKHG2/CTTN/FER/LIMA1/PTK2B/CYFIP1/RASA1/GBA2/RICTOR/SSH2/RAC1/ADD1",29,"ACKR1+ endothelial"
"GO:0031507","heterochromatin formation","26/1899","129/17012",0.201550387596899,1.80556882243204,3.25555290977328,0.00197306053125744,0.0221013076015708,0.0176756245996474,"PPM1D/CDK2/HDAC8/ZNFX1/RB1/CDYL/PCGF3/TRIP12/EZH1/SIN3A/UBR5/DYRK1A/UBR2/KMT2D/RLIM/SPEN/MIS18BP1/ATRX/SMARCAD1/JARID2/EHMT1/PHF2/DNMT3A/KDM5A/LMNA/TASOR",26,"ACKR1+ endothelial"
"GO:0072665","protein localization to vacuole","22/1899","103/17012",0.213592233009709,1.91344448023231,3.29605059476967,0.0019794322435175,0.0221302041631574,0.0176987347605497,"CLU/NEDD4/GBP1/MVB12B/NLK/SH3BP4/ROCK2/RPTOR/MVB12A/SMURF1/VPS13A/VPS13D/VPS54/PIK3C3/VPS53/VPS8/ATG14/AP3B1/MON1B/ATE1/KCMF1/RAB7A",22,"ACKR1+ endothelial"
"GO:0007272","ensheathment of neurons","30/1899","156/17012",0.192307692307692,1.72276906874063,3.21467194295297,0.00202022134997216,0.0225000225161021,0.0179944987259473,"JAM2/ITGB4/EPB41L3/CLU/ADGRG6/MALL/CLDN5/ARHGEF10/PMP22/ACER3/RARB/QKI/JAM3/LARGE1/PPP3R1/PLEC/SKI/SBF2/NDRG1/ATRN/CTSC/MAPK3/SOS1/CTNNB1/MTMR2/NF1/B4GALT5/HEXA/PPARD/CMTM8",30,"ACKR1+ endothelial"
